user_id,session_id,event_name,event_timestamp,page_type,product_id
U0111,S00001,page_view,2025-01-21 21:15:00,home,
U0111,S00001,product_view,2025-01-21 21:16:00,product,P301
U0111,S00001,add_to_cart,2025-01-21 21:18:00,cart,P301
U0059,S00002,page_view,2025-01-01 21:34:00,home,
U0059,S00002,product_view,2025-01-01 21:37:00,product,P301
U0059,S00002,add_to_cart,2025-01-01 21:38:00,cart,P301
U0059,S00002,checkout,2025-01-01 21:39:00,checkout,P301
U0357,S00003,page_view,2025-01-08 19:28:00,home,
U0357,S00003,product_view,2025-01-08 19:29:00,product,P301
U0489,S00004,page_view,2025-01-03 17:52:00,home,
U0489,S00004,product_view,2025-01-03 17:53:00,product,P301
U0145,S00005,page_view,2025-01-18 17:19:00,home,
U0145,S00005,product_view,2025-01-18 17:22:00,product,P301
U0145,S00005,add_to_cart,2025-01-18 17:24:00,cart,P301
U0145,S00005,checkout,2025-01-18 17:26:00,checkout,P301
U0489,S00006,page_view,2025-01-09 00:33:00,home,
U0489,S00006,product_view,2025-01-09 00:34:00,product,P301
U0489,S00006,add_to_cart,2025-01-09 00:35:00,cart,P301
U0021,S00007,page_view,2025-01-24 11:20:00,home,
U0021,S00007,product_view,2025-01-24 11:21:00,product,P301
U0021,S00007,add_to_cart,2025-01-24 11:23:00,cart,P301
U0026,S00008,page_view,2025-01-06 23:22:00,home,
U0026,S00008,product_view,2025-01-06 23:25:00,product,P301
U0566,S00009,page_view,2025-01-06 04:36:00,home,
U0566,S00009,product_view,2025-01-06 04:39:00,product,P301
U0268,S00010,page_view,2025-01-15 01:15:00,home,
U0268,S00010,product_view,2025-01-15 01:16:00,product,P301
U0268,S00010,add_to_cart,2025-01-15 01:17:00,cart,P301
U0120,S00011,page_view,2025-01-11 10:35:00,home,
U0120,S00011,product_view,2025-01-11 10:37:00,product,P301
U0288,S00012,page_view,2025-01-18 16:09:00,home,
U0288,S00012,product_view,2025-01-18 16:10:00,product,P301
U0149,S00013,page_view,2025-01-07 09:45:00,home,
U0149,S00013,product_view,2025-01-07 09:46:00,product,P301
U0183,S00014,page_view,2025-01-11 09:19:00,home,
U0183,S00014,product_view,2025-01-11 09:21:00,product,P301
